E_LPN_8	scBS_2C_6_1	scBS_2C_6_2	scBS_4C_7_1	scBS_4C_7_2	scBS_4C_7_3	scBS_4C_7_4	scBS_8C_9_1	scBS_8C_9_2	scBS_8C_9_3	scBS_8C_9_4	scBS_8C_9_5	scBS_8C_9_6	scBS_8C_9_7	scBS_8C_9_8
FAM181A	0.05	0.125	0.117	0.025	0.009	0.045	0.074	0.034	0.163	0.272	0.383	0.073	0.053	0.067	0.295
CDRT15	0.462	0.0	0.0	0.265	0.0	0.0	0.0	0.667	1.0	NA	1.0	0.0	0.25	0.0	0.75
MYL6	0.413	0.025	0.053	0.042	0.364	0.0	0.1	0.161	0.214	0.357	0.0	0.194	0.293	0.267	0.625
MYL7	0.153	0.429	0.192	0.0	0.0	0.154	0.0	0.154	0.2	0.107	0.375	0.154	0.292	0.289	0.558
MYL4	0.388	0.417	0.122	0.167	0.096	0.186	0.13	0.179	0.218	0.229	0.57	0.232	0.373	0.159	0.462
MYL5	0.43	0.308	0.185	0.057	0.0	0.012	0.035	0.226	0.071	0.182	0.358	0.009	0.162	0.109	0.349
MYL2	0.24	0.368	0.189	0.042	0.385	0.0	0.295	0.036	0.065	0.189	0.348	0.273	0.229	0.328	0.55
MYL3	0.711	0.0	0.049	0.137	0.129	0.0	0.012	0.733	0.632	0.531	0.571	0.554	0.356	0.2	0.648
DUXAP8	0.186	0.167	0.143	0.07	0.0	0.176	0.02	0.188	0.144	0.119	0.052	0.229	0.323	0.22	0.37
MYL1	0.875	1.0	0.75	0.444	0.25	0.7	0.167	0.75	0.4	0.9	0.8	0.818	0.545	0.7	0.864
CDKN2AIPNL	0.306	0.167	0.286	0.022	0.089	0.181	0.149	0.192	0.083	0.395	0.469	0.276	0.27	0.47	0.317
MYL9	0.878	0.593	0.553	0.303	0.254	0.303	0.366	0.517	0.623	0.598	0.304	0.557	0.394	0.647	0.426
NCEH1	0.638	0.8	0.558	0.412	0.245	0.252	0.245	0.531	0.617	0.457	0.628	0.472	0.543	0.518	0.539
TSNARE1	0.58	0.585	0.445	0.179	0.201	0.31	0.467	0.477	0.313	0.538	0.715	0.419	0.568	0.646	0.566
MPP3	0.598	0.22	0.345	0.327	0.224	0.239	0.218	0.216	0.275	0.524	0.667	0.335	0.405	0.281	0.315
MPP2	0.39	0.393	0.288	0.106	0.034	0.056	0.042	0.122	0.068	0.238	0.364	0.119	0.368	0.22	0.258
MPP1	0.55	0.558	0.374	0.193	0.347	0.19	0.065	0.463	0.631	0.545	0.604	0.514	0.338	0.473	0.784
MPP7	0.785	0.758	0.727	0.467	0.264	0.484	0.409	0.749	0.919	0.831	0.83	0.782	0.726	0.683	0.724
MPP6	0.515	0.506	0.325	0.271	0.278	0.183	0.125	0.341	0.597	0.421	0.628	0.308	0.444	0.625	0.423
MPP5	0.537	0.411	0.463	0.139	0.359	0.372	0.363	0.288	0.326	0.601	0.477	0.477	0.65	0.493	0.587
MPP4	0.399	0.415	0.388	0.39	0.317	0.474	0.307	0.662	0.577	0.526	0.383	0.603	0.5	0.523	0.579
FAM110A	0.069	0.199	0.095	0.035	0.035	0.027	0.032	0.053	0.022	0.086	0.099	0.078	0.056	0.037	0.183
FAM110C	0.003	0.0	0.066	0.045	0.0	0.026	0.0	0.014	0.021	0.271	0.114	0.007	0.033	0.031	0.007
OR52R1	0.8	NA	0.625	0.667	NA	1.0	0.5	1.0	1.0	NA	NA	1.0	0.8	NA	NA
FAM110D	0.0	0.341	0.063	0.0	0.019	0.029	0.067	0.023	0.005	0.0	0.011	0.017	0.004	0.0	0.011
IPMK	0.504	0.419	0.37	0.326	0.169	0.287	0.318	0.447	0.809	0.393	0.646	0.668	0.573	0.552	0.631
SNTG1	0.343	0.392	0.429	0.194	0.26	0.306	0.358	0.449	0.442	0.427	0.454	0.404	0.448	0.377	0.483
MIR4802	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MIR4801	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MIR4800	1.0	NA	NA	0.167	NA	0.833	NA	0.667	0.0	0.0	1.0	0.833	NA	1.0	1.0
UNQ6494	0.132	0.131	0.149	0.171	0.027	0.167	0.047	0.287	0.238	0.331	0.227	0.385	0.13	0.053	0.129
MIR4804	NA	NA	NA	NA	NA	1.0	NA	NA	NA	NA	NA	NA	NA	NA	NA
LOC100506422	0.767	0.933	0.632	0.4	0.211	0.379	0.24	0.941	0.636	0.821	0.905	0.774	0.784	0.757	0.897
LOC440028	0.034	0.051	0.079	0.017	0.0	0.017	0.0	0.0	0.004	0.0	0.0	0.006	0.011	0.0	0.0
MYLK	0.769	0.698	0.643	0.417	0.407	0.428	0.545	0.686	0.593	0.711	0.811	0.613	0.555	0.459	0.749
YME1L1	0.705	0.476	0.724	0.597	0.363	0.342	0.415	0.71	0.803	0.575	0.692	0.553	0.662	0.717	0.733
GORASP2	0.408	0.183	0.269	0.203	0.058	0.211	0.324	0.349	0.177	0.241	0.422	0.422	0.306	0.206	0.42
GORASP1	0.214	0.471	0.129	0.129	0.058	0.118	0.121	0.152	0.146	0.196	0.096	0.146	0.09	0.134	0.173
PPRC1	0.359	0.514	0.338	0.153	0.154	0.258	0.181	0.225	0.404	0.323	0.25	0.26	0.31	0.278	0.48
MIR449A	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.0	NA	NA
MIR449B	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MIR449C	NA	NA	NA	NA	NA	NA	0.0	NA	NA	NA	NA	NA	NA	NA	NA
TRIM49D1	NA	NA	NA	0.5	NA	NA	NA	0.333	NA	0.0	NA	NA	1.0	0.667	NA
OR5M11	NA	0.429	0.0	NA	NA	0.5	0.0	NA	0.0	0.143	0.143	1.0	0.167	0.0	0.4
SUMF2	0.532	0.278	0.412	0.217	0.142	0.259	0.247	0.226	0.31	0.615	0.557	0.407	0.341	0.448	0.376
SUMF1	0.749	0.544	0.734	0.442	0.399	0.227	0.353	0.743	0.801	0.683	0.679	0.654	0.649	0.73	0.857
SURF1	0.104	0.0	0.022	0.019	0.0	0.015	0.037	0.245	0.038	0.09	0.049	0.291	0.035	0.015	0.03
FNDC3A	0.703	0.433	0.688	0.426	0.351	0.386	0.248	0.529	0.568	0.637	0.667	0.597	0.663	0.665	0.667
FNDC3B	0.692	0.536	0.64	0.449	0.51	0.279	0.31	0.744	0.669	0.683	0.791	0.649	0.602	0.582	0.661
SURF2	0.186	0.375	0.128	0.08	0.107	0.091	0.036	0.395	0.303	0.333	0.14	0.324	0.114	0.189	0.116
SURF4	0.419	0.14	0.346	0.147	0.03	0.07	0.259	0.429	0.249	0.389	0.319	0.562	0.202	0.327	0.361
SURF6	0.604	0.077	0.341	0.105	0.013	0.397	0.136	0.331	0.418	0.213	0.137	0.565	0.416	0.147	0.102
RAD21-AS1	0.0	NA	0.038	0.1	NA	0.0	NA	0.0	0.0	0.0	0.0	0.037	1.0	0.0	0.111
LOC100420587	0.591	0.472	0.516	0.359	0.347	0.416	0.381	0.521	0.505	0.635	0.539	0.782	0.725	0.603	0.522
EFS	0.054	0.0	0.02	0.018	0.0	0.01	0.3	0.016	0.009	0.095	0.22	0.061	0.172	0.031	0.089
MB21D1	0.12	0.12	0.135	0.012	0.032	0.069	0.079	0.217	0.139	0.174	0.211	0.246	0.188	0.261	0.135
MB21D2	0.681	0.5	0.445	0.306	0.334	0.238	0.378	0.564	0.617	0.58	0.753	0.58	0.507	0.521	0.741
CORO2B	0.377	0.333	0.337	0.141	0.152	0.072	0.075	0.27	0.184	0.373	0.581	0.256	0.339	0.207	0.404
CORO2A	0.225	0.291	0.198	0.157	0.037	0.083	0.032	0.381	0.154	0.199	0.231	0.217	0.114	0.032	0.033
SPACA4	0.441	0.25	0.667	0.027	0.0	0.167	0.152	0.038	0.048	0.0	0.0	0.0	0.015	0.208	0.05
CCDC135	0.455	0.506	0.315	0.138	0.244	0.178	0.115	0.382	0.391	0.554	0.721	0.49	0.51	0.537	0.549
CCDC136	0.38	0.409	0.291	0.08	0.149	0.207	0.155	0.195	0.183	0.321	0.308	0.344	0.307	0.376	0.478
SPACA7	0.636	0.865	0.662	0.497	0.294	0.77	0.242	0.629	0.686	0.824	0.706	0.801	0.608	0.596	0.624
CCDC130	0.531	0.681	0.25	0.486	0.235	0.402	0.269	0.744	0.68	0.428	0.429	0.516	0.592	0.438	0.516
SPACA1	0.085	0.364	0.0	0.0	0.118	0.0	0.118	0.07	0.333	0.4	0.657	0.1	0.182	0.072	0.167
CCDC132	0.672	0.524	0.585	0.273	0.579	0.591	0.382	0.9	0.593	0.719	0.799	0.737	0.698	0.648	0.758
SPACA3	0.138	0.0	0.438	0.068	0.095	0.033	0.125	0.186	0.467	0.183	0.214	0.0	0.049	0.009	0.381
CCDC138	0.807	0.52	0.575	0.479	0.317	0.28	0.371	0.63	0.678	0.721	0.918	0.74	0.69	0.606	0.614
STK31	0.768	0.602	0.612	0.548	0.521	0.588	0.557	0.724	0.61	0.812	0.793	0.701	0.717	0.783	0.745
FRG2B	0.0	NA	NA	0.0	NA	0.0	0.0	NA	0.0	0.125	0.0	0.107	0.0	0.0	0.0
STK33	0.665	0.657	0.685	0.458	0.321	0.615	0.363	0.592	0.623	0.728	0.88	0.624	0.725	0.646	0.819
LOC284454	0.167	0.0	0.333	0.091	0.5	0.0	0.111	0.067	0.043	0.0	0.13	0.063	0.0	0.0	0.133
STK36	0.7	0.914	0.702	0.4	0.336	0.451	0.376	0.705	0.488	0.668	0.484	0.775	0.562	0.62	0.598
STK38	0.647	0.313	0.38	0.35	0.359	0.168	0.473	0.598	0.541	0.546	0.753	0.677	0.427	0.478	0.311
STK39	0.654	0.61	0.514	0.397	0.218	0.286	0.214	0.733	0.796	0.692	0.71	0.722	0.627	0.69	0.676
DNAAF1	0.678	0.375	0.597	0.295	0.297	0.203	0.193	0.526	0.425	0.449	0.546	0.472	0.513	0.663	0.385
DNAAF2	0.073	0.031	0.041	0.036	0.01	0.05	0.063	0.09	0.08	0.173	0.14	0.105	0.098	0.136	0.079
DNAAF3	0.393	0.185	0.157	0.193	0.213	0.205	0.117	0.36	0.095	0.3	0.375	0.327	0.174	0.119	0.118
CHRNB1	0.096	0.355	0.067	0.073	0.081	0.064	0.013	0.091	0.209	0.062	0.162	0.107	0.1	0.121	0.115
CHRNB3	0.11	0.302	0.32	0.113	0.023	0.189	0.116	0.139	0.028	0.189	0.507	0.146	0.061	0.235	0.101
CHRNB2	0.164	0.25	0.081	0.054	0.019	0.038	0.053	0.168	0.215	0.296	0.286	0.188	0.132	0.206	0.16
CHRNB4	0.486	0.524	0.226	0.227	0.262	0.03	0.214	0.224	0.605	0.584	0.637	0.211	0.546	0.265	0.313
LINC01055	0.179	0.206	0.031	0.25	0.059	0.0	0.0	0.423	0.1	0.37	0.647	0.094	0.295	0.234	0.391
HBEGF	0.229	0.0	0.13	0.0	0.198	0.121	0.161	0.178	0.198	0.311	0.515	0.163	0.243	0.316	0.316
LINC01057	0.489	0.585	0.48	0.295	0.292	0.135	0.267	0.443	0.733	0.598	0.563	0.583	0.485	0.446	0.52
LINC01056	0.188	0.437	0.16	0.195	0.101	0.125	0.077	0.218	0.252	0.545	0.285	0.579	0.304	0.308	0.161
LINC01050	0.5	1.0	0.75	0.625	1.0	NA	1.0	NA	0.8	1.0	1.0	0.25	0.571	0.6	0.857
LINC01053	0.352	0.091	0.481	0.238	0.65	0.042	0.083	0.0	0.208	0.256	0.26	0.242	0.067	0.128	0.333
CYP7A1	0.667	0.278	0.364	0.5	0.0	0.111	0.083	0.3	0.259	0.583	1.0	0.083	0.097	0.158	0.457
LINC01058	0.021	0.0	0.0	0.013	0.0	0.0	0.0	0.012	0.077	0.0	0.0	0.0	0.0	0.0	0.0
ANTXRLP1	0.214	0.425	0.221	0.197	0.119	0.168	0.13	0.453	0.61	0.585	0.46	0.458	0.339	0.362	0.37
CRYAA	0.043	0.0	0.091	0.02	0.0	0.032	0.014	0.062	0.346	0.04	0.062	0.147	0.038	0.05	0.016
PODNL1	0.147	0.139	0.187	0.059	0.015	0.086	0.103	0.097	0.035	0.133	0.19	0.187	0.154	0.179	0.115
GSTT2	0.423	NA	0.091	0.07	0.0	0.045	0.0	0.0	0.0	0.27	0.13	0.102	0.017	0.061	0.0
ZNRD1	0.1	0.0	0.0	0.086	0.0	0.0	0.087	0.0	0.286	0.023	0.0	0.0	0.029	0.048	0.115
PLXNA3	0.65	0.576	0.369	0.214	0.192	0.277	0.139	0.404	0.563	0.417	0.467	0.438	0.421	0.343	0.308
PLXNA2	0.135	0.177	0.172	0.028	0.115	0.027	0.088	0.094	0.309	0.262	0.209	0.191	0.084	0.071	0.108
PLXNA1	0.699	0.664	0.466	0.289	0.271	0.215	0.282	0.572	0.47	0.482	0.767	0.625	0.377	0.286	0.646
PBDC1	0.03	0.0	0.091	0.148	0.0	0.0	0.0	0.048	NA	0.029	0.179	0.161	0.243	0.8	0.015
ASNS	0.02	NA	0.385	0.15	0.182	0.107	0.146	0.23	0.089	0.076	0.144	0.254	0.292	0.307	0.209
PLXNA4	0.686	0.726	0.557	0.324	0.246	0.381	0.396	0.529	0.521	0.64	0.739	0.529	0.581	0.74	0.777
FLJ39080	0.418	0.5	0.354	0.174	0.243	0.515	0.368	0.532	0.33	0.599	0.63	0.385	0.516	0.426	0.523
MIR1976	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MIR1973	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PEG3	0.642	0.7	0.397	0.345	0.321	0.334	0.475	0.502	0.741	0.714	0.298	0.789	0.793	0.446	0.77
SCAI	0.76	0.781	0.755	0.343	0.49	0.331	0.541	0.758	0.67	0.674	0.78	0.742	0.629	0.584	0.554
LOC101927269	0.0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.333	0.333	0.375	NA
WASH5P	0.0	0.0	NA	0.0	0.0	NA	NA	0.042	NA	0.0	0.0	0.5	0.0	0.385	NA
LOC101927267	0.075	0.133	0.085	0.033	0.059	0.022	0.014	0.13	0.06	0.116	0.17	0.076	0.122	0.156	0.138
MAP2K3	0.361	0.285	0.367	0.274	0.295	0.364	0.235	0.397	0.525	0.367	0.454	0.311	0.39	0.4	0.643
MAP2K2	0.794	0.597	0.629	0.374	0.363	0.328	0.418	0.444	0.544	0.569	0.434	0.694	0.687	0.515	0.31
MAP2K1	0.584	0.505	0.502	0.397	0.329	0.348	0.231	0.42	0.452	0.564	0.641	0.383	0.626	0.48	0.522
MAP2K7	0.271	0.413	0.444	0.011	0.146	0.175	0.058	0.179	0.182	0.206	0.184	0.357	0.299	0.188	0.209
MAP2K6	0.816	0.731	0.699	0.393	0.248	0.481	0.279	0.66	0.719	0.71	0.825	0.642	0.868	0.665	0.809
MAP2K5	0.625	0.479	0.524	0.376	0.372	0.303	0.362	0.436	0.543	0.684	0.699	0.546	0.635	0.518	0.683
MAP2K4	0.536	0.783	0.524	0.27	0.172	0.257	0.25	0.818	0.807	0.791	0.926	0.567	0.467	0.607	0.597
SCAP	0.645	0.469	0.348	0.425	0.328	0.271	0.339	0.526	0.483	0.454	0.536	0.36	0.423	0.451	0.485
MINK1	0.554	0.493	0.412	0.251	0.201	0.288	0.162	0.381	0.609	0.515	0.535	0.319	0.365	0.361	0.469
LOC100508046	0.667	NA	NA	1.0	0.0	0.0	NA	0.25	0.667	0.5	NA	NA	0.667	0.0	1.0
EFCAB14-AS1	0.563	1.0	0.875	0.208	0.091	0.19	0.5	0.833	0.607	1.0	0.857	0.643	0.8	0.586	0.775
ATP5G1	0.333	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.111	0.078	0.067	0.031	0.167	0.075	0.094
ACY1	0.183	0.125	0.097	0.187	0.013	0.022	0.102	0.12	0.072	0.015	0.234	0.067	0.062	0.093	0.068
ATP5G2	0.538	0.0	0.255	0.132	0.276	0.152	0.143	0.207	0.284	0.331	0.324	0.399	0.21	0.395	0.261
OR4P4	0.0	NA	NA	NA	NA	NA	NA	NA	NA	0.0	0.0	NA	0.0	NA	NA
GRPR	0.941	0.417	0.867	0.484	0.333	0.154	0.5	0.783	0.842	0.857	0.867	0.714	0.737	0.87	0.75
GPR173	0.429	0.557	0.368	0.249	0.408	0.317	0.194	0.384	0.451	0.386	0.508	0.429	0.265	0.303	0.75
MIR363	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MIR362	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MIR367	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MIR369	0.0	NA	0.0	0.0	0.667	NA	NA	NA	NA	0.0	NA	NA	0.0	NA	NA
PSMF1	0.558	0.739	0.528	0.421	0.471	0.488	0.302	0.48	0.66	0.675	0.892	0.638	0.465	0.799	0.775
BDNF	0.205	0.241	0.257	0.168	0.127	0.17	0.106	0.181	0.37	0.314	0.303	0.384	0.282	0.178	0.19
BORA	0.348	0.615	0.381	0.357	0.067	0.265	0.029	0.447	0.6	0.298	0.267	0.458	0.371	0.212	0.286
T	0.085	0.116	0.059	0.012	0.0	0.122	0.019	0.027	0.019	0.123	0.295	0.033	0.0	0.006	0.037
LOC101929765	0.221	0.0	0.455	0.5	0.143	0.0	0.068	0.0	0.185	0.191	0.25	0.071	0.261	0.028	NA
LOC101929767	0.645	0.574	0.583	0.238	0.218	0.42	0.236	0.53	0.398	0.432	0.472	0.456	0.544	0.446	0.434
CSNK2A3	0.433	NA	NA	0.0	NA	NA	NA	0.167	0.929	0.0	0.4	0.526	0.0	1.0	NA
CSNK2A2	0.511	0.609	0.451	0.268	0.19	0.282	0.467	0.64	0.511	0.451	0.766	0.347	0.378	0.606	0.262
CSNK2A1	0.673	0.563	0.531	0.339	0.335	0.304	0.358	0.623	0.691	0.656	0.833	0.513	0.521	0.78	0.565
CIRH1A	0.66	0.543	0.497	0.37	0.226	0.25	0.345	0.528	0.493	0.682	0.9	0.641	0.371	0.593	0.568
UBE2E1-AS1	0.0	0.0	0.0	0.018	0.071	0.0	0.0	0.029	0.0	0.0	0.0	0.081	0.104	0.0	0.0
KDM5D	NA	NA	1.0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.0
KDM5A	0.85	0.738	0.68	0.416	0.282	0.345	0.479	0.629	0.585	0.653	0.91	0.735	0.696	0.763	0.666
KDM5B	0.374	0.328	0.51	0.274	0.386	0.2	0.362	0.381	0.648	0.501	0.538	0.453	0.601	0.458	0.489
KDM5C	0.636	0.394	0.4	0.447	0.36	0.228	0.237	0.498	0.467	0.565	0.896	0.343	0.398	0.564	0.419
LOC100130417	0.413	0.286	0.429	0.056	0.0	0.0	0.029	0.11	0.131	0.337	0.825	0.158	0.317	0.35	0.27
AIPL1	0.055	0.25	0.074	0.071	0.0	0.08	0.038	0.043	0.212	0.189	0.533	0.03	0.057	0.06	0.187
LOC100288069	0.447	0.515	0.414	0.413	0.097	0.0	0.159	0.409	0.441	0.37	0.769	0.405	0.68	0.313	0.879
GLUL	0.166	0.067	0.112	0.115	0.028	0.045	0.027	0.112	0.097	0.204	0.083	0.134	0.119	0.17	0.118
LOC101929497	0.544	0.308	0.264	0.141	0.423	0.483	0.217	0.44	0.394	0.487	0.361	0.491	0.347	0.447	0.491
IFT122	0.755	0.721	0.579	0.396	0.318	0.222	0.298	0.703	0.486	0.607	0.785	0.538	0.33	0.438	0.445
C9orf106	0.071	0.227	0.333	0.0	0.0	0.0	0.0	0.192	0.0	0.0	0.0	0.034	0.011	0.037	0.0
OR2B11	0.0	NA	0.111	0.0	0.375	0.0	0.0	0.111	0.778	0.26	0.737	0.115	0.148	0.0	0.091
GYS1	0.329	0.241	0.285	0.194	0.184	0.096	0.205	0.187	0.252	0.343	0.279	0.477	0.419	0.232	0.245
GYS2	0.213	0.2	0.291	0.167	0.214	0.125	0.304	0.3	0.151	0.481	0.333	0.325	0.392	0.358	0.386
LOC494141	0.1	0.0	0.042	0.25	0.0	0.111	0.0	0.0	0.04	0.184	0.337	0.107	0.364	0.32	0.0
ETV1	0.252	0.344	0.236	0.204	0.07	0.192	0.308	0.5	0.373	0.396	0.456	0.378	0.489	0.422	0.665
ETV3	0.403	0.146	0.309	0.241	0.047	0.112	0.15	0.223	0.362	0.067	0.167	0.142	0.242	0.27	0.176
ETV2	0.004	0.0	0.0	0.024	0.0	0.026	0.01	0.015	0.018	0.0	0.0	0.004	0.022	0.0	0.015
ETV5	0.419	0.483	0.433	0.328	0.158	0.103	0.267	0.545	0.347	0.422	0.491	0.452	0.515	0.462	0.506
ETV4	0.037	0.19	0.218	0.083	0.0	0.019	0.035	0.035	0.015	0.113	0.18	0.022	0.199	0.018	0.031
ETV7	0.091	0.145	0.174	0.021	0.054	0.039	0.08	0.14	0.048	0.198	0.228	0.25	0.048	0.046	0.093
ETV6	0.709	0.675	0.535	0.303	0.346	0.255	0.327	0.54	0.555	0.657	0.809	0.661	0.604	0.721	0.744
LOC102800447	0.748	0.861	0.585	0.476	0.478	0.562	0.376	0.594	0.649	0.766	0.662	0.686	0.895	0.877	0.781
RNF216-IT1	0.814	0.714	0.516	0.286	0.208	0.21	0.56	0.69	0.405	0.308	0.398	0.551	0.648	0.831	0.767
OR10J1	0.167	1.0	0.0	0.0	0.0	0.0	NA	0.667	NA	0.5	NA	0.4	0.0	0.333	0.0
ZNF205-AS1	0.59	0.85	0.159	0.094	0.083	0.063	0.154	0.128	0.045	0.452	0.48	0.227	0.432	0.465	0.377
IKZF5	0.233	0.4	0.21	0.25	0.278	0.258	0.5	0.131	0.301	0.84	0.8	0.176	0.188	0.259	0.472
IKZF4	0.768	0.343	0.581	0.261	0.471	0.364	0.25	0.562	0.385	0.786	0.825	0.508	0.608	0.785	0.407
IKZF1	0.092	0.095	0.105	0.011	0.006	0.146	0.09	0.091	0.103	0.128	0.177	0.085	0.105	0.187	0.38
IKZF3	0.178	0.449	0.372	0.248	0.219	0.133	0.213	0.249	0.451	0.311	0.549	0.103	0.197	0.316	0.41
IKZF2	0.778	0.735	0.598	0.424	0.576	0.545	0.228	0.617	0.746	0.704	0.714	0.771	0.727	0.71	0.722
C11orf71	0.065	0.032	0.045	0.047	0.087	0.0	0.0	0.021	0.429	0.0	0.083	0.071	0.038	0.1	0.087
C11orf70	0.2	0.535	0.587	0.203	0.112	0.231	0.17	0.479	0.456	0.761	0.972	0.792	0.719	0.569	0.562
C11orf73	0.628	0.821	0.622	0.52	0.403	0.4	0.389	0.637	0.709	0.742	0.631	0.694	0.577	0.635	0.644
C11orf74	0.735	0.385	0.625	0.403	0.267	0.271	0.321	0.917	0.452	0.72	0.683	0.574	0.909	0.664	0.687
LINC00307	0.0	0.0	0.4	0.0	0.0	NA	0.0	NA	0.25	NA	1.0	NA	0.6	0.0	0.0
TCEAL3	0.0	0.0	0.023	0.015	0.13	0.022	0.036	0.0	0.033	0.098	0.083	0.0	0.0	0.038	0.039
TCEAL2	0.023	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.286	0.111	0.0	0.0	0.053	0.016
TCEAL1	0.0	0.188	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.031	0.0	0.0	0.024	0.0
TCEAL7	0.2	NA	0.0	0.1	0.0	0.0	0.0	0.0	0.0	NA	NA	0.0	0.0	0.0	0.0
TCEAL6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.038	NA	0.167	0.194	0.0	0.0	0.0	0.0
TCEAL5	0.0	0.05	0.0	0.0	0.0	0.0	0.119	0.075	0.0	0.4	0.4	0.0	0.043	0.059	0.0
TCEAL4	0.033	0.0	0.114	0.0	0.0	0.024	0.0	0.0	0.0	0.233	0.202	0.182	0.092	0.064	0.049
TCEAL8	0.0	0.0	0.0	0.0	NA	0.0	0.0	0.0	0.0	0.05	0.0	0.0	0.182	0.0	0.0
PTTG3P	NA	NA	1.0	NA	NA	NA	0.0	NA	NA	NA	NA	NA	NA	NA	NA
WIZ	0.576	0.333	0.393	0.121	0.189	0.198	0.129	0.474	0.459	0.448	0.43	0.528	0.461	0.449	0.438
HMX1	0.286	0.04	0.052	0.01	0.004	0.08	0.006	0.086	0.159	0.145	0.194	0.0	0.15	0.255	0.16
HMX3	0.004	0.0	0.014	0.007	0.0	0.008	0.0	0.0	0.014	0.0	0.0	0.011	0.012	0.02	0.011
HMX2	0.031	0.0	0.035	0.011	0.0	0.0	0.0	0.0	0.0	0.045	0.0	0.0	0.052	0.016	0.037
RSG1	0.566	0.273	0.259	0.017	0.167	0.115	0.06	0.236	0.204	0.421	0.043	0.353	0.131	0.273	0.222
CACYBP	0.174	0.058	0.209	0.081	0.086	0.007	0.053	0.129	0.102	0.184	0.19	0.123	0.183	0.121	0.13
C9orf135-AS1	0.0	NA	0.313	0.3	0.25	NA	0.0	0.0	0.125	NA	0.0	0.0	0.0	0.0	0.4
PRPS2	0.268	0.294	0.538	0.286	0.204	0.181	0.192	0.365	0.604	0.779	0.935	0.459	0.5	0.696	0.321
LHFPL3-AS1	0.947	0.0	0.9	0.3	1.0	0.333	0.444	0.813	0.733	0.711	0.75	0.654	0.938	0.867	1.0
CAND1	0.311	0.148	0.354	0.168	0.176	0.089	0.258	0.189	0.291	0.18	0.189	0.424	0.267	0.562	0.491
PRPS1	0.365	0.1	0.331	0.31	0.3	0.161	0.194	0.394	0.914	0.5	0.177	0.257	0.493	0.518	0.473
CDR2	0.293	0.439	0.32	0.214	0.054	0.143	0.147	0.296	0.191	0.267	0.422	0.271	0.216	0.261	0.149
CDR1	0.778	1.0	0.5	0.0	NA	NA	NA	0.429	NA	0.5	0.0	0.714	1.0	0.786	1.0
BRPF3	0.761	0.343	0.359	0.189	0.241	0.272	0.352	0.63	0.583	0.395	0.442	0.482	0.426	0.418	0.39
SYNGR1	0.128	0.225	0.136	0.018	0.014	0.089	0.044	0.065	0.038	0.173	0.14	0.084	0.093	0.29	0.095
BRPF1	0.604	0.476	0.318	0.416	0.266	0.199	0.257	0.616	0.27	0.347	0.388	0.199	0.418	0.418	0.464
LUZP4	0.103	0.429	0.129	0.048	0.013	0.012	0.1	0.684	0.379	0.265	0.524	0.134	0.189	0.385	0.372
LUZP6	0.644	0.4	0.513	0.156	0.306	0.17	0.353	0.688	0.354	0.766	0.698	0.469	0.388	0.417	0.929
C8orf88	0.128	0.0	0.0	0.0	0.083	0.05	1.0	0.08	0.128	0.239	NA	0.833	0.107	0.0	0.038
LUZP1	0.632	0.503	0.567	0.362	0.569	0.354	0.379	0.691	0.701	0.455	0.598	0.599	0.504	0.513	0.523
LUZP2	0.522	0.549	0.544	0.388	0.249	0.31	0.256	0.653	0.634	0.632	0.694	0.668	0.593	0.558	0.634
C8orf82	0.007	0.0	0.016	0.006	0.015	0.005	0.0	0.004	0.007	0.066	0.133	0.01	0.002	0.0	0.005
C8orf87	0.12	0.0	0.346	0.179	0.111	0.315	0.3	0.0	0.394	0.27	0.25	0.231	0.697	0.63	0.7
C8orf86	0.051	0.1	0.233	0.043	0.017	0.109	0.225	0.212	0.074	0.233	0.569	0.053	0.106	0.209	0.14
CNTFR-AS1	0.58	0.227	0.191	0.107	0.0	0.05	0.017	0.064	0.06	0.162	0.186	0.155	0.24	0.128	0.151
UBE2Q1	0.375	0.158	0.551	0.208	0.027	0.085	0.229	0.228	0.34	0.329	0.23	0.297	0.22	0.314	0.091
UBE2Q2	0.321	0.333	0.336	0.174	0.234	0.139	0.141	0.24	0.28	0.33	0.288	0.182	0.392	0.197	0.376
